Asset,V7 Panik-Trades,davon Crash-Tag (<-10% 6M Bwd),davon Bubble-Tag (>+20% 6M Bwd),davon Indifferent,Unterdrueckte Trigger (Direktionalfilter)
Logitech,6,0,6,0,35
Sika,11,0,11,0,0
Richemont,7,0,7,0,1
Lonza,16,0,16,0,2
Partners Group,17,0,15,2,22
