Asset,V7_Panik_Trades,Crash_Tag_Bwd_unter_minus10%,Bubble_Tag_Bwd_ueber_plus20%,Indifferent,Unterdrueckte_Trigger
Logitech,7,0,7,0,35
Sika,11,0,11,0,0
Richemont,7,0,7,0,1
Lonza,16,0,16,0,2
Partners Group,18,0,16,2,22
Summe,59,0,57,2,60
